487:[INFO] Tests run: 4, Failures: 0, Errors: 0, Skipped: 0, Time elapsed: 1.142 s -- in uk.gov.defra.trade.imports.animals.service.EmfMetricsPublisherTest
514:[INFO] Tests run: 1, Failures: 0, Errors: 0, Skipped: 0, Time elapsed: 0.139 s -- in uk.gov.defra.trade.imports.animals.accompanyingdocument.DocumentControllerTrailingSlashTest
517:[INFO] Tests run: 7, Failures: 0, Errors: 0, Skipped: 0, Time elapsed: 0.004 s -- in uk.gov.defra.trade.imports.animals.accompanyingdocument.AccompanyingDocumentTest$ScanStatusJsonSerialisation
519:[INFO] Tests run: 3, Failures: 0, Errors: 0, Skipped: 0, Time elapsed: 0.001 s -- in uk.gov.defra.trade.imports.animals.accompanyingdocument.AccompanyingDocumentTest$DocumentTypeJsonSerialisation
521:[INFO] Tests run: 1, Failures: 0, Errors: 0, Skipped: 0, Time elapsed: 0.005 s -- in uk.gov.defra.trade.imports.animals.accompanyingdocument.AccompanyingDocumentTest$DateOfIssueJsonRoundTrip
523:[INFO] Tests run: 4, Failures: 0, Errors: 0, Skipped: 0, Time elapsed: 0.002 s -- in uk.gov.defra.trade.imports.animals.accompanyingdocument.AccompanyingDocumentTest$FileStatusJsonSerialisation
525:[INFO] Tests run: 2, Failures: 0, Errors: 0, Skipped: 0, Time elapsed: 0.001 s -- in uk.gov.defra.trade.imports.animals.accompanyingdocument.AccompanyingDocumentTest$FilesDefaultToEmptyList
527:[INFO] Tests run: 2, Failures: 0, Errors: 0, Skipped: 0, Time elapsed: 0.001 s -- in uk.gov.defra.trade.imports.animals.accompanyingdocument.AccompanyingDocumentTest$BuilderAndConstructor
528:[INFO] Tests run: 0, Failures: 0, Errors: 0, Skipped: 0, Time elapsed: 0.016 s -- in uk.gov.defra.trade.imports.animals.accompanyingdocument.AccompanyingDocumentTest
531:[INFO] Tests run: 1, Failures: 0, Errors: 0, Skipped: 0, Time elapsed: 0 s -- in uk.gov.defra.trade.imports.animals.accompanyingdocument.AccompanyingDocumentDtoTest$NullGuard
533:[INFO] Tests run: 5, Failures: 0, Errors: 0, Skipped: 0, Time elapsed: 0.001 s -- in uk.gov.defra.trade.imports.animals.accompanyingdocument.AccompanyingDocumentDtoTest$FilesListMapping
535:[INFO] Tests run: 4, Failures: 0, Errors: 0, Skipped: 0, Time elapsed: 0 s -- in uk.gov.defra.trade.imports.animals.accompanyingdocument.AccompanyingDocumentDtoTest$InstantConversion
537:[INFO] Tests run: 1, Failures: 0, Errors: 0, Skipped: 0, Time elapsed: 0 s -- in uk.gov.defra.trade.imports.animals.accompanyingdocument.AccompanyingDocumentDtoTest$FullFieldMapping
538:[INFO] Tests run: 0, Failures: 0, Errors: 0, Skipped: 0, Time elapsed: 0.003 s -- in uk.gov.defra.trade.imports.animals.accompanyingdocument.AccompanyingDocumentDtoTest
572:[INFO] Tests run: 2, Failures: 0, Errors: 0, Skipped: 0, Time elapsed: 0.114 s -- in uk.gov.defra.trade.imports.animals.accompanyingdocument.DocumentControllerTest$Delete
587:[INFO] Tests run: 3, Failures: 0, Errors: 0, Skipped: 0, Time elapsed: 0.013 s -- in uk.gov.defra.trade.imports.animals.accompanyingdocument.DocumentControllerTest$UploadFile
602:[INFO] Tests run: 3, Failures: 0, Errors: 0, Skipped: 0, Time elapsed: 0.017 s -- in uk.gov.defra.trade.imports.animals.accompanyingdocument.DocumentControllerTest$DownloadFile
617:[INFO] Tests run: 3, Failures: 0, Errors: 0, Skipped: 0, Time elapsed: 0.013 s -- in uk.gov.defra.trade.imports.animals.accompanyingdocument.DocumentControllerTest$ScanResult
628:[INFO] Tests run: 2, Failures: 0, Errors: 0, Skipped: 0, Time elapsed: 0.009 s -- in uk.gov.defra.trade.imports.animals.accompanyingdocument.DocumentControllerTest$GetByUploadId
638:[INFO] Tests run: 2, Failures: 0, Errors: 0, Skipped: 0, Time elapsed: 0.008 s -- in uk.gov.defra.trade.imports.animals.accompanyingdocument.DocumentControllerTest$ListDocuments
696:[INFO] Tests run: 18, Failures: 0, Errors: 0, Skipped: 0, Time elapsed: 0.041 s -- in uk.gov.defra.trade.imports.animals.accompanyingdocument.DocumentControllerTest$Initiate
697:[INFO] Tests run: 0, Failures: 0, Errors: 0, Skipped: 0, Time elapsed: 0.220 s -- in uk.gov.defra.trade.imports.animals.accompanyingdocument.DocumentControllerTest
700:[INFO] Tests run: 2, Failures: 0, Errors: 0, Skipped: 0, Time elapsed: 0.050 s -- in uk.gov.defra.trade.imports.animals.accompanyingdocument.DocumentServiceTest$FindFile
703:[INFO] Tests run: 2, Failures: 0, Errors: 0, Skipped: 0, Time elapsed: 0.001 s -- in uk.gov.defra.trade.imports.animals.accompanyingdocument.DocumentServiceTest$DeleteForNotificationRefs
705:[INFO] Tests run: 3, Failures: 0, Errors: 0, Skipped: 0, Time elapsed: 0.002 s -- in uk.gov.defra.trade.imports.animals.accompanyingdocument.DocumentServiceTest$ProxyFileToUploader
709:[INFO] Tests run: 5, Failures: 0, Errors: 0, Skipped: 0, Time elapsed: 0.002 s -- in uk.gov.defra.trade.imports.animals.accompanyingdocument.DocumentServiceTest$HandleScanResult
715:[INFO] Tests run: 2, Failures: 0, Errors: 0, Skipped: 0, Time elapsed: 0.002 s -- in uk.gov.defra.trade.imports.animals.accompanyingdocument.DocumentServiceTest$Initiate
716:[INFO] Tests run: 0, Failures: 0, Errors: 0, Skipped: 0, Time elapsed: 0.058 s -- in uk.gov.defra.trade.imports.animals.accompanyingdocument.DocumentServiceTest
718:[INFO] Tests run: 1, Failures: 0, Errors: 0, Skipped: 0, Time elapsed: 0.001 s -- in uk.gov.defra.trade.imports.animals.accompanyingdocument.DocumentTypeTest
